Código;Alimento;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
14;Mayonesa de soja;15.3;723.8;1.1;78.2;11.885;19.598;42.674;38;3.9;0;1.5;568;34;18;28;0.5;0.16;0.01;8;84;0;0;0.26;0;0
14;Salsa Golf;29.81;514.72;1.72;53.12;6.057;14.44;32.58;39;7.44;0.43;3.45;1113;382;24;40;0.68;0.24;0.5;13;72;0.004;0.154;0;0;0
14;Ketchup;70.04;102.87;1.81;0.59;0.082;0.09;0.241;0;22.58;1.3;3.68;1113;382;18;33;0.51;0.26;1.5;15;47;0.013;0.468;0;0;0
14;Mostaza;81.64;62.11;3.95;3.11;0.158;2.144;0.583;0;4.58;3.2;3.52;1120;151;80;88;1.85;0.6;0.46;8;7;0.051;0.025;0;0;0
14;Caldos en cubo;3.3;169.6;17.3;4;1.99;1.67;0.16;4;16.1;0;59.3;24000;403;60;225;2.23;0.21;3.3;32;0;0.2;0.24;1;0;0
14;Caldos en polvo diet;3.27;238.49;15.97;8.89;4.32;3.616;0.332;10;23.65;0;48.22;16982;446;60;320;1;0;4.47;32;0;0.07;0.243;1;0;0
14;Caldos en polvo diet sin sal;3.27;238.49;15.97;8.89;4.32;3.616;0.332;10;23.65;0;48.22;2000;446;60;320;1;0;4.47;32;0;0.07;0.243;1;0;0
14;Sopa crema instantánea;4.4;369.5;15.31;9.1;1.36;3.91;3.42;2;56.59;0;14.6;4450;555;47;267;2.1;1.3;2.4;17;2;0.36;0.44;1;0;0
14;Sopa crema diet instantánea;4.4;296.6;15.31;1;0.149;0.429;0.375;0;56.59;0;22.7;4450;555;47;267;2.1;1.3;2.4;17;2;0.36;0.44;1;0;0
14;Sopa crema diet instantánea sin sal;4.4;296.6;15.31;1;0.149;0.429;0.375;0;56.59;0;22.7;2000;555;47;267;2.1;1.3;2.4;17;2;0.36;0.44;1;0;0
14;Chizitos;1.5;550.8;7.6;34.4;6.59;20.28;4.76;4;52.7;1.1;2.7;1050;166;58;108;1.1;0.38;1.18;23;23;0.26;0.2;0.14;0;0
14;Palitos;2.2;536;6.7;34.4;8.88;6.16;17.9;0;49.9;3.4;3.3;250;1237;18;172;2.27;0.99;4.79;40;0;0.096;0.116;0;0;0
14;Papas fritas;1.9;533;7;34.6;10.96;9.84;12.17;0;48.4;4.5;3.6;594;1275;24;165;1.63;1.09;3.83;45;0;0.167;0.197;0;0;0
7;Pescados de Mar Promedio: Corvina blanca, brótola, merluza, lenguado, gatuso;79.72;81.96;17.82;1.08;0.13;0.117;0.24;57;0.24;0;1.16;86.5;272;19.5;211.5;2;0.37;8.75;12;17;0.078;0.259;1.19;0;0
7;Pescados de Río Promedio: Trucha, palometa, surubí, dorado;73.03;134.3;19.49;6.18;1.554;1.539;1.805;59;0.18;0;1.22;53.5;363.5;43.5;242.5;1.09;0.41;8.22;11;84;0.203;0.073;3.77;0;0
7;Calamar;79.1;80.3;18.5;0.7;0.182;0.054;0.267;228;0;0;1.73;43.69;244.3;31.77;219.46;0.68;1.52;2.16;4.667;10;0.019;0.409;1.29;0;0
7;Camarón;76.6;91.4;21;0.8;0.152;0.117;0.309;70;0.05;0;1.55;147;183.2;51.49;203.01;2.38;1.1;2.53;3;53;0.027;0.033;1.14;0;0
7;Langostino;75.3;96.82;22;0.9;0.152;0.117;0.309;70;0.18;0;1.65;147;183.2;51.49;203.01;2.38;1.1;2.53;3;53;0.027;0.033;1.14;0;0
7;Mejillón;83;64.38;11.9;1.1;0.208;0.248;0.587;14;1.72;0;2.27;289;315;88;236;5.8;1.55;2.9;41;47;0.049;0.305;11.65;0;0
7;Atún en agua;73.19;121.21;23.62;2.97;0.792;0.784;1.109;42;0;0;1.46;377;237;14;217;0.97;0.48;5.8;2;6;0.008;0.044;1.17;0;0
7;Atún en aceite;59.83;190.41;29.13;8.21;1.534;2.949;2.885;18;0;0;2.76;354;207;13;311;1.39;0.9;12.4;5;23;0.038;0.12;2.2;0;0
7;Anchoa pasta;50.3;202.95;28.89;9.71;2.203;3.77;2.562;85;0;0;11.1;3668;544;232;252;4.63;2.44;19.9;13;12;0.078;0.363;0.88;0;0
7;Anchoa en aceite;50.3;202.95;28.89;9.71;2.203;3.77;2.562;85;0;0;11.1;3668;544;232;252;4.63;2.44;19.9;13;12;0.078;0.363;0.88;0;0
7;Caballa tronco;69.17;149.46;23.19;6.3;1.857;2.225;1.651;79;0;0;1.73;379;194;241;301;2.04;1.02;6.18;5;130;0.04;0.212;6.94;0;0
7;Caballa enlatada;69.17;149.46;23.19;6.3;1.857;2.225;1.651;79;0;0;1.73;379;194;241;301;2.04;1.02;6.18;5;130;0.04;0.212;6.94;0;0
7;Sardinas en aceite;59.61;201.53;24.62;11.45;1.528;3.869;5.148;142;0;0;3.38;505;397;382;490;2.92;1.31;5.25;12;32;0.08;0.227;8.94;0;0
6;Queso crema entero untable;66.2;245.4;6.6;22.6;14.8;6.8;0.7;76;3.9;0;0.64;74;148;56;97;0.3;0.5;0.1;13;289;0;0.2;0.11;0;0
6;Queso semidescremado untable;77.8;104;11.5;4;2.53;1.139;0.123;13;5.5;0;1.14;90;202;102;175;0.14;0.37;0.13;12.17;44.65;0.02;0.62;0.062;0;0
6;Queso descremado untable;78.6;81.9;13.7;0.3;0.189;0.085;0.009;1;6.1;0;1.29;106;260;116;198;0.13;0.33;0.12;21.83;40.2;0.02;0.148;0.022;0;0
6;Ricota;70.9;169;11.6;11.8;7.54;3.297;0.35;46;4.1;0;1.58;84.94;106.2;209.33;159.78;0.38;1.17;0.11;12.1;121.35;0.013;0.197;0.34;0;0
6;Fundido;39.09;364.14;24.48;29.58;18.428;8.471;1.032;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;234.71;0.067;0.368;1;0;0
6;Queso Muzzarella;52.05;289.22;21.05;21.98;13.88;5.749;0.63;62;1.8;0;3.12;569.5;66.8;452.03;405.05;0.83;1.98;0.23;9.555;235.31;0.039;0.559;1.215;0;0
6;Quesos Limburgues;52.05;289.22;21.05;21.98;13.88;5.749;0.63;62;1.8;0;3.12;569.5;66.8;452.03;405.05;0.83;1.98;0.23;9.555;235.31;0.039;0.559;1.215;0;0
6;Queso Doble crema;52.05;289.22;21.05;21.98;13.88;5.749;0.63;62;1.8;0;3.12;569.5;66.8;452.03;405.05;0.83;1.98;0.23;9.555;235.31;0.039;0.559;1.215;0;0
6;Queso Cuartirolo;52.05;289.22;21.05;21.98;13.88;5.749;0.63;62;1.8;0;3.12;569.5;66.8;452.03;405.05;0.83;1.98;0.23;9.555;235.31;0.039;0.559;1.215;0;0
6;Queso Tandil;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Taif;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Azul;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Chubut;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Fontina;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Gruyère;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Holanda;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Mar del Plata;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Pategrás;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Queso de máquina;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Roquefort;39.09;364.14;24.48;29.58;18.428;8.471;1.033;102;0;0;6.83;732.13;96.8;645.56;476.38;0.4;3.33;0.15;14.07;235;0.067;0.368;1;0;0
6;Queso Goya;32.82;384.42;31.46;27.22;14.84;6.79;0.51;77;3.4;0;7.87;998;65.8;996;698;0.7;2.37;0.15;6.19;90.05;0.055;0.333;1.03;0;0
6;Queso Parmesano;32.82;384.42;31.46;27.22;14.84;6.79;0.51;77;3.4;0;7.87;998;65.8;996;698;0.7;2.37;0.15;6.19;90.05;0.055;0.333;1.03;0;0
6;Queso Provolone;32.82;384.42;31.46;27.22;14.84;6.79;0.51;77;3.4;0;7.87;998;65.8;996;698;0.7;2.37;0.15;6.19;90.05;0.055;0.333;1.03;0;0
6;Queso Reggianito;32.82;384.42;31.46;27.22;14.84;6.79;0.51;77;3.4;0;7.87;998;65.8;996;698;0.7;2.37;0.15;6.19;90.05;0.055;0.333;1.03;0;0
6;Queso Sardo;32.82;384.42;31.46;27.22;14.84;6.79;0.51;77;3.4;0;7.87;998;65.8;996;698;0.7;2.37;0.15;6.19;90.05;0.055;0.333;1.03;0;0
6;Queso Sbrinz;32.82;384.42;31.46;27.22;14.84;6.79;0.51;77;3.4;0;7.87;998;65.8;996;698;0.7;2.37;0.15;6.19;90.05;0.055;0.333;1.03;0;0
15;Hierro (elemental);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0
15;Ácido fólico (elemental);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166.66;0;0;0;0;0;0
15;Vitamina A (elemental);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0
15;Vitamina D (elemental);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100
15;Calcio (elemental);0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0
15;Vitamina B12 (elemental);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0
15;Ensure Polvo;6.8;449;16.2;16.2;2.12;3.95;8.68;9;59.6;0;1.2;359;664;225;225;4;5;8.94;298;350;0.68;0.76;2.68;68;0
15;Ensure Plus;65.9;149.56;5.49;4.8;0.42;2.66;1.6;2;21.1;0;2.7;101.2;186;84.4;84.4;1.9;1.6;2.1;70;158;0.16;0.18;0.63;12.7;0
15;Ensure Plus drink;65.93;150.08;6.25;4.92;0.42;2.66;1.6;2;20.2;0;2.7;120;200;117;92;2.67;1.6;3;55;116;0.2;0.27;0.75;11.9;0
15;Kas Mil (por 100 g de polvo);2.8;493.8;16.2;25;3.8;7.95;12.17;0;51;0;5;400;610;510;350;6.1;5.1;1.5;38;456;0.25;0.37;0.9;50;0
5;Huevo de gallina entero crudo;74.9;155.8;12;11.8;3.18;4.53;2.89;449;0.4;0;0.95;135;138;56;213;2.53;1.15;0.2;48.88;145.6;0.2;0.523;1.34;0;0
5;Huevo de gallina clara cruda;87.1;48.2;11.6;0.2;0;0;0;0;0;0;1.1;186;142;10;28;0.86;0.03;0.11;4;0;0.004;0.439;0.09;0;0
5;Huevo de gallina yema cruda;52.1;324.7;16.6;28.7;9.551;11.738;4;1315;0;0;2.6;48;109;129;390;2.73;2.3;0.02;146;381;0.176;0.528;1.95;0;0
5;Huevo de codorniz entero crudo;71.9;174.5;13.6;13.3;4.268;5.188;1.588;430;0.1;0;1.1;145;136;66;233;3.75;1.51;0.15;68;160;0.133;0.813;1.63;0;0
6;Yogur entero natural;86.1;66.6;4.6;3;1.934;0.824;0.084;12;5.3;0;1;47;158;123;97;0.05;0.6;0.08;7;27.5;0.029;0.145;0.38;0;0
6;Yogur entero saborizado;79.8;88.8;4.4;2.4;1.548;0.659;0.068;9;12.4;0;1;59;172;125;114;0.1;0.44;0.1;8.95;29;0.048;0.183;0.376;0;0
6;Yogur descremado;88.5;42.6;4.3;0.2;0.129;0.054;0.005;2;5.9;0;1.1;75;177;110;125;0.09;0.37;0.08;8;0;0.033;0.159;0.42;0;0
6;Yogur entero bebible saborizado;80.8;86.6;2.7;2.6;1.677;0.714;0.074;8;13.1;0;0;42.1;124;93;71;0.03;0.34;0.06;6.05;28;0.03;0.13;0.3;0;0
6;Yogur descremado bebible;91.5;30.05;3;0.05;0.032;0.014;0.001;2;4.4;0;1.05;47.6;139;110;85;0.09;0.35;0.07;29.1;0;0.03;0.14;0.33;0;0
6;Flan listo para consumir;74.63;113.52;2.95;3;1.8;0.821;0.111;12;18.68;0;0.74;112;160;111;84;0.06;0.35;0.08;4;29;0.031;0.145;0.26;0;0
6;Flan diet  listo para consumir;74.63;106.02;3.7;1.5;0.9;0.41;0.055;6;19.43;0;0.74;112;160;111;84;0.06;0.35;0.08;4;29;0.031;0.145;0.26;0;0
