Código;Alimento;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
3;Maní tostado salado;1.55;595.7;23.68;49.66;6.89;24.64;15.694;0;13.51;8;3.6;813;658;54;358;2.26;3.31;13.53;145;0;0.438;0.09;0;0;0
3;Manzana con piel;85.56;48.21;0.26;0.17;0.028;0.007;0.051;0;11.41;2.4;0.19;1;107;6;11;0.12;0.04;0.09;3;3;0.017;0.026;0;4.6;0
3;Manzana sin piel;84.1;59.08;0.3;0.4;0.021;0.005;0.038;0;13.57;1.3;0.3;5;122;4;9;0.5;0.05;0.2;0;2;0.041;0.047;0;2.8;0
3;Melón pulpa fresco;92.7;24.2;0.6;0.2;0.024;0.001;0.038;0;5;0.9;0.6;17;275;17;18;0.52;0.07;0.3;8;0;0.042;0.031;0;14.8;0
3;Membrillo pulpa fresco crudo;85.3;50.1;0.3;0.1;0.009;0.035;0.049;0;12;1.9;0.4;3;203;14;19;0.32;0.04;0.9;3;2;0.032;0.054;0;3.4;0
3;Naranja;87.14;41.25;0.7;0.21;0.025;0.039;0.042;0;9.14;2.4;0.41;0;169;43;12;0.09;0.08;0.4;17;11;0.1;0.04;0;45;0
3;Guabirva;86.73;45.28;0.43;0.2;0.04;0.008;0.091;0;10.44;1.7;0.5;1;266;16;27;0.28;0.05;0.18;14;76;0.019;0.024;0;1;0
3;Nispero;86.73;45.28;0.43;0.2;0.04;0.008;0.091;0;10.44;1.7;0.5;1;266;16;27;0.28;0.05;0.18;14;76;0.019;0.024;0;1;0
3;Nuez;4.07;675.85;15.23;65.21;6.12;8.93;47.17;0;7.01;6.7;1.78;2;441;98;346;2.91;3.09;1.13;98;1;0.341;0.15;0;1.3;0
3;Palta;65.4;249.6;1.7;26.4;3.826;17.638;3.268;0;1.3;2;3.2;16;396;15;31;0.53;0.7;0.4;64;7;0.043;0.137;0;58;0
3;Pasas de uva;15.43;318.34;3.07;0.46;0.058;0.051;0.037;0;75.48;3.7;1.85;11;749;50;101;1.88;0.22;0.77;5;0;0.106;0.125;0;0;0
3;Pera;82.7;57.2;0.7;0.4;0.007;0.027;0.03;0;12.7;3.1;0.4;2;129;8;10;0.19;0.1;0.2;7;1;0.057;0.074;0;3;0
3;Pera al natural en lata;80.35;72.25;0.2;0.13;0.007;0.027;0.03;0;17.57;1.6;0.15;5;65;5;7;0.22;0.08;0.24;1;0;0.01;0.022;0;0;0
3;Pera al natural en lata diet;87.3;44.5;0.3;0.1;0.006;0.021;0.023;0;10.6;1.6;0.1;2;45;7;7;0.2;0.07;0.4;1;0;0.01;0.02;0;0;0
3;Pera orejón crudo;24;266;2.3;0.4;0.038;0.146;0.164;0;63.3;8.3;1.7;6.6;592;37.8;65.6;2.33;0.43;1.3;0;0;0.061;0.106;0;0;0
3;Pistachos;3.97;553.08;20.61;44.44;5.44;23.319;13.455;0;17.67;10.3;3.02;1;1025;107;490;4.15;2.2;1.3;51;28;0.87;0.16;0;5;0
3;Pomelo;92.9;21.32;0.5;0;0.013;0.12;0.023;0;4.83;1.07;0.7;37;147;13;10;0.21;0.06;0;10;2;0.104;0.078;0;47.8;0
3;Sandía;92.1;29.8;0.5;0.2;0.015;0.036;0.049;0;6.5;0.4;0.3;8;73;11;3;0.23;0.1;0.18;3;28;0.015;0.022;0;9.1;0
3;Uva fresca;80.54;73.12;0.72;0.16;0.054;0.007;0.048;0;17.2;0.9;0.48;2;191;10;20;0.36;0.07;0.19;2;3;0.069;0.07;0;10.8;0
3;Acerola;91.41;30.66;0.4;0.3;0.068;0.082;0.09;0;6.59;1.1;0.2;7;146;12;11;0.2;0.1;0.4;14;38;0.02;0.06;0;1677.6;0
3;Cayota o Alcayota;94.85;13.25;0.82;0.13;0.028;0.01;0.057;0;2.2;1.7;0.3;2;125;17;18;0.34;0.74;0.47;93;0;0.025;0.029;0;0;0
3;Coco fresco;46.9;345.9;3.4;34.7;29.698;1.425;0.366;0;5;9;1;17;436;13;94;2.08;1.1;0.1;26;0;0.173;0;0;3.3;0
4;Aceite de girasol;0;900;0;100;10.9;23;61.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Aceite de maíz;0;900;0;100;15.2;31.8;48.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Aceite comestible mezcla;0;900;0;100;11;27.6;61.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Aceite de oliva;0;900;0;100;17;71.1;12.4;0;0;0;0;3;1;1;0;0.66;0;0;0;0;0;0;0;0;0
4;Aceite de canola;0;900;0;100;6.1;55;33.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Aceite de uva;0;900;0;100;11;23.6;65.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Aceite de soja;0;900;0;100;14.4;23.3;57.9;0;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0
4;Grasa de cerdo;7.69;809.98;2.92;88.7;32.21;41.95;10.35;57;0;0;0.6;11;65;2;38;0.18;0.37;0.99;1;5;0.084;0.051;0.2;0;0
4;Grasa vacuna;0.1;899.1;0;99.9;49.8;41.8;4;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Manteca;15.3;758;0.5;84;50.25;29.49;1.25;223;0;0;0.2;223;15;15;24;0.16;0.09;0.04;0.03;704;0.005;0.03;0.2;0;0
4;Margarina 100% vegetal (en pote y en pan);16;747;0;83;20.3;49.8;12.9;0;0;0;1;925;41;29;22;0;0;0.02;1;804;0.01;0.036;0.1;0;0
4;Margarina reducida en calorías untable;42;504;0;56;13.5;33;9.5;0;0;0;1.58;730;28;20;15;0;0;0.02;1;761;0.007;0.026;0.07;0;0
4;Crema de leche;57.71;352.36;2.05;37;23.032;10.686;1.374;137;2.79;0;0.45;38;75;65;62;0.03;0.23;0.04;4;411;0.022;0.11;0.18;0;0
9;Acelga;94;19.4;2.2;0.2;0.029;0.039;0.069;0;2.2;1.6;1;154;639;115;102;6.94;0.35;0.5;13.8;301;0.089;0.14;0;17.74;0
